Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000188290,HES4,8,-3.6030,298,2.29865,3,-5.1567,47,-1.1407,252,1.91065,61,-0.6093
ENSG00000078808,SDF4,70,-0.4891,164,0.95059,117,0.42371,54,-1.0083,84,-0.1955,98,0.05494
ENSG00000175756,AURKAIP1,8,-4.2512,385,1.83879,148,0.08418,80,-1.0244,198,0.56340,89,-0.7526
ENSG00000242485,MRPL20,24,-2.9331,243,0.65503,218,0.55680,107,-0.7907,263,0.79225,144,-0.2222
ENSG00000179403,VWA1,19,-2.6135,177,0.86373,268,2.31407,46,-1.4781,34,-1.7765,0,-9.1624
ENSG00000160075,SSU72,11,-3.6701,99,-0.4086,138,0.15115,112,-0.2471,217,0.91835,193,0.71286
ENSG00000078369,GNB1,219,-0.6862,391,0.24769,364,0.15009,224,-0.7396,538,0.80388,370,0.15709
ENSG00000067606,PRKCZ,36,-1.7294,47,-1.3307,147,0.59163,45,-1.5180,219,1.21684,191,0.95653
ENSG00000157916,RER1,10,-3.2735,148,0.83606,127,0.68020,65,-0.6186,102,0.18538,84,-0.1230
ENSG00000158109,TPRG1L,8,-3.8203,67,-0.7091,84,-0.3940,29,-2.1305,285,1.84914,249,1.56259
ENSG00000130764,LRRC47,8,-2.6646,11,-2.2310,63,0.58273,31,-0.7522,118,1.65137,53,0.19429
ENSG00000069424,KCNAB2,8,-2.8418,20,-1.5338,16,-2.0478,21,-1.5980,136,1.69885,190,2.47592
ENSG00000116251,RPL22,961,0.53927,1472,1.32270,530,-0.5091,656,-0.1197,615,-0.2087,169,-2.1936
ENSG00000097021,ACOT7,147,-0.1588,10,-4.1996,126,-0.4599,35,-2.5365,305,1.10238,513,2.19055
ENSG00000171735,CAMTA1,113,-0.5567,237,0.66876,63,-1.5971,150,-0.1142,366,1.48549,135,-0.2689
ENSG00000049245,VAMP3,8,-4.5301,302,0.98632,423,2.28533,83,-1.2534,13,-3.8706,29,-2.6740
ENSG00000049246,PER3,8,-2.9715,115,1.18398,104,1.25795,45,-0.4616,41,-0.5675,5,-3.7238
ENSG00000116288,PARK7,8,-5.3741,400,0.45377,404,0.56336,269,-0.2426,507,0.87106,186,-0.7975
ENSG00000142599,RERE,8,-3.0047,12,-2.4641,44,-0.5632,53,-0.2229,224,2.61549,40,-0.6349
ENSG00000074800,ENO1,322,-0.4229,249,-0.8269,203,-1.2659,420,0.00902,718,0.93604,808,1.15712
ENSG00000171603,CLSTN1,84,-1.5643,129,-0.9073,205,-0.2041,123,-1.0989,662,1.98999,296,0.43675
ENSG00000162441,LZIC,169,1.21767,70,-0.2978,104,0.42146,79,-0.1155,47,-0.9192,21,-2.0955
ENSG00000054523,KIF1B,36,-3.2320,211,-0.6026,449,0.78216,212,-0.6769,469,0.72022,423,0.53642
ENSG00000142657,PGD,8,-2.9067,45,-0.3258,82,0.81246,26,-1.3341,48,-0.2470,128,1.48418
ENSG00000120948,TARDBP,8,-3.0413,73,0.30514,96,0.94932,48,-0.4603,98,0.79970,23,-1.5299
