Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000078808,SDF4,87,-0.2145,62,-0.7171,85,-0.2588,99,0.02451,137,0.70538
ENSG00000175756,AURKAIP1,223,1.11038,62,-1.1889,98,-0.5544,143,0.11416,108,-0.3824
ENSG00000242485,MRPL20,276,0.62399,214,0.09018,111,-1.0723,235,0.24730,200,-0.0246
ENSG00000179403,VWA1,17,-3.4316,111,-0.4359,35,-2.3887,202,0.55336,375,2.42361
ENSG00000160075,SSU72,352,1.44222,82,-1.2888,131,-0.6356,110,-0.8360,162,-0.2516
ENSG00000078369,GNB1,703,1.14920,212,-1.0578,282,-0.6953,482,0.25723,321,-0.4681
ENSG00000067606,PRKCZ,326,1.81966,53,-1.6368,76,-1.2088,64,-1.3324,142,-0.1115
ENSG00000157916,RER1,123,-0.1260,47,-1.6067,82,-0.8454,293,1.43454,150,0.26624
ENSG00000158109,TPRG1L,254,2.04868,76,-0.5771,98,-0.2028,3,-5.1462,45,-1.5165
ENSG00000116251,RPL22,344,-1.0588,880,0.58482,377,-0.9006,1562,1.67446,551,-0.2332
ENSG00000097021,ACOT7,757,3.13780,32,-3.1466,138,-1.0833,62,-2.1595,72,-2.1158
ENSG00000171735,CAMTA1,375,1.07798,203,-0.1807,227,0.00179,272,0.30290,68,-2.0401
ENSG00000049245,VAMP3,27,-2.3273,177,0.79965,74,-0.7351,58,-1.0207,225,1.61934
ENSG00000116288,PARK7,673,1.10645,430,0.10842,191,-1.3050,408,0.02128,327,-0.3861
ENSG00000074800,ENO1,1237,1.51587,281,-1.2806,671,0.11278,260,-1.4015,355,-1.0316
ENSG00000171603,CLSTN1,699,1.52742,98,-2.0045,251,-0.6365,283,-0.3701,284,-0.4195
ENSG00000054523,KIF1B,390,0.01791,386,-0.0029,317,-0.3711,192,-1.1097,550,0.72908
ENSG00000116661,FBXO2,574,1.91539,217,-0.2777,234,-0.1763,71,-1.9984,77,-2.0340
ENSG00000116688,MFN2,261,1.22689,100,-0.6388,111,-0.5332,154,0.05431,96,-0.7933
ENSG00000189337,KAZN,121,-0.3051,65,-1.2172,57,-1.5589,104,-0.4931,305,1.79228
ENSG00000159363,ATP13A2,459,2.89567,3,-5.9315,88,-1.0690,36,-2.2871,76,-1.2972
ENSG00000117118,SDHB,121,0.72253,128,0.69388,64,-0.5228,13,-2.7737,84,-0.0103
ENSG00000117115,PADI2,132,-1.9888,270,-0.7345,268,-0.8453,183,-1.3343,1085,2.37357
ENSG00000077549,CAPZB,234,0.28291,167,-0.3125,171,-0.3133,225,0.17498,209,0.06018
ENSG00000173436,MICOS10,398,0.14392,731,1.20302,186,-1.2066,506,0.53340,274,-0.5465
ENSG00000158747,NBL1,178,0.60179,56,-1.3561,103,-0.4569,408,2.13252,16,-3.3966
ENSG00000162545,CAMK2N1,796,0.63618,479,-0.3194,364,-0.8465,172,-1.8917,845,0.77086
ENSG00000158828,PINK1,586,1.50263,265,-0.2127,241,-0.4174,84,-1.9846,205,-0.7031
ENSG00000127483,HP1BP3,156,-0.4222,197,0.00351,201,0.04562,193,-0.0230,233,0.33702
ENSG00000075151,EIF4G3,257,1.23437,122,-0.2936,115,-0.4330,60,-1.3809,120,-0.3609
ENSG00000070831,CDC42,550,0.44958,228,-1.0376,175,-1.5854,593,0.50649,621,0.71368
ENSG00000125944,HNRNPR,108,-0.3926,48,-1.6105,100,-0.5289,209,0.76176,198,0.81810
ENSG00000142676,RPL11,337,-1.4609,1359,0.96199,440,-1.0235,1783,1.48420,774,-0.0164
ENSG00000057757,PITHD1,630,1.99509,84,-1.8373,194,-0.6372,10,-4.9113,231,-0.3286
ENSG00000001461,NIPAL3,201,0.30276,182,0.09211,63,-1.7233,32,-2.5808,318,1.36216
ENSG00000169504,CLIC4,51,-2.8683,170,-0.8632,116,-1.5946,992,2.36172,422,0.75958
ENSG00000117616,RSRP1,61,-1.1095,48,-1.3419,87,-0.4994,257,1.44884,156,0.63748
ENSG00000183726,TMEM50A,74,-1.0858,106,-0.4102,48,-1.7717,291,1.34088,226,1.07514
ENSG00000117632,STMN1,1300,0.08596,782,-0.7436,444,-1.7642,502,-1.4242,2588,1.70132
ENSG00000142669,SH3BGRL3,362,0.39018,241,-0.3411,142,-1.2918,614,1.28178,258,-0.2664
ENSG00000198830,HMGN2,95,-1.1310,161,-0.1789,86,-1.2951,387,1.36441,264,0.80080
ENSG00000090273,NUDC,202,0.60148,182,0.32241,105,-0.6513,146,-0.0486,130,-0.2737
ENSG00000158195,WASF2,15,-3.1413,57,-0.9877,74,-0.6724,250,1.53184,184,1.18482
ENSG00000126709,IFI6,346,0.47679,101,-1.5499,189,-0.6686,832,2.10318,90,-1.8825
ENSG00000117758,STX12,231,0.44708,99,-0.9949,133,-0.5992,132,-0.5408,260,0.69767
ENSG00000126698,DNAJC8,199,0.42390,163,0.01914,107,-0.7432,252,0.76456,131,-0.3865
ENSG00000130770,ATP5IF1,1009,2.00908,509,0.24417,188,-1.4765,225,-1.0628,196,-1.4117
ENSG00000162512,SDC3,78,-0.9908,116,-0.2576,246,1.30414,118,-0.2324,103,-0.5095
