Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000188976,NOC2L,172,1.28214,74,-0.1261,41,-1.0452,36,-1.2476,97,0.35009,93,0.22791,47,-0.8457,99,0.33724,49,-0.7754
ENSG00000188290,HES4,172,0.41829,28,-2.3221,153,0.22728,83,-0.7269,148,0.20274,102,-0.4151,141,0.09946,23,-2.6186,328,1.55767
ENSG00000187608,ISG15,172,1.62131,119,0.94330,114,0.87408,31,-1.1857,38,-0.9603,54,-0.3469,35,-1.0170,14,-2.3902,58,-0.2317
ENSG00000078808,SDF4,172,0.73927,231,1.25803,87,-0.3567,58,-0.9780,91,-0.3304,91,-0.3022,110,0.00133,63,-0.8618,103,-0.0963
ENSG00000176022,B3GALT6,172,2.42465,36,-0.3867,17,-1.4732,9,-2.3959,49,0.11987,49,0.12345,68,0.65389,0,-6.3409,7,-2.6752
ENSG00000160087,UBE2J2,172,1.62074,123,1.00174,27,-1.4165,21,-1.7272,45,-0.6920,67,-0.0130,70,0.06749,68,0.01920,35,-1.0122
ENSG00000131584,ACAP3,172,1.73281,19,-1.8040,33,-0.9866,20,-1.7700,41,-0.7309,35,-0.9222,63,-0.0022,97,0.69859,112,0.94171
ENSG00000127054,INTS11,172,1.26670,170,1.24276,47,-0.8625,34,-1.3215,64,-0.4113,81,0.00455,89,0.14753,46,-0.8785,45,-0.9162
ENSG00000224051,CPTP,172,2.39608,43,-0.1123,22,-1.1175,24,-0.9807,36,-0.4105,38,-0.3215,33,-0.5395,57,0.33675,0,-6.0125
ENSG00000107404,DVL1,172,1.75351,70,0.17727,57,-0.1568,45,-0.5095,56,-0.1915,29,-1.2009,84,0.48086,36,-0.8449,21,-1.6319
ENSG00000175756,AURKAIP1,172,0.41359,160,0.29430,140,0.07619,120,-0.1645,184,0.61219,78,-0.8313,126,-0.0928,120,-0.1594,48,-1.5724
ENSG00000221978,CCNL2,172,2.03543,111,1.18507,50,-0.1277,20,-1.5106,38,-0.6124,24,-1.2657,50,-0.1542,41,-0.4544,2,-4.4576
ENSG00000242485,MRPL20,172,-0.0144,261,0.67395,183,0.08942,107,-0.7577,217,0.41999,155,-0.1809,173,0.00024,155,-0.1829,93,-0.9647
ENSG00000179403,VWA1,172,1.25413,46,-0.8788,65,-0.3598,25,-1.8102,4,-4.6265,13,-2.7330,38,-1.1638,380,2.94984,71,-0.2128
ENSG00000205090,TMEM240,172,2.38951,54,0.25636,37,-0.3659,35,-0.4574,30,-0.7497,22,-1.1332,59,0.40227,24,-0.9830,0,-6.0173
ENSG00000160075,SSU72,172,0.02931,195,0.23333,113,-0.6268,113,-0.6307,237,0.64108,216,0.39988,120,-0.5321,122,-0.5070,163,-0.0600
ENSG00000228594,FNDC10,172,1.48267,0,-7.9203,43,-0.7975,25,-1.6369,90,0.41380,128,0.94536,74,0.03183,17,-2.2095,84,0.24654
ENSG00000197530,MIB2,172,2.40494,33,-0.5149,57,0.35658,19,-1.3282,33,-0.5907,30,-0.6696,58,0.37682,11,-2.1744,15,-1.7161
ENSG00000078369,GNB1,172,-0.5216,195,-0.3251,292,0.32160,169,-0.5478,368,0.82809,216,-0.1648,214,-0.1817,218,-0.1479,182,-0.4297
ENSG00000067606,PRKCZ,172,-0.0576,98,-0.9238,125,-0.5574,71,-1.4095,295,0.98587,292,0.81373,175,-0.0306,213,0.28918,45,-2.0764
ENSG00000162585,FAAP20,172,0.92859,215,1.33113,89,-0.1505,54,-0.9378,43,-1.3777,25,-2.0743,55,-0.8890,178,0.98639,109,0.16325
ENSG00000157916,RER1,172,1.62769,116,0.90678,68,0.03212,43,-0.6718,78,0.28985,74,0.15158,29,-1.2675,7,-3.3025,3,-4.3069
ENSG00000157911,PEX10,172,2.04561,84,0.72345,24,-1.2441,26,-1.1565,30,-1.0228,36,-0.6374,22,-1.3602,40,-0.4681,80,0.62369
ENSG00000197921,HES5,172,2.84253,0,-7.0153,61,0.75959,48,0.35301,23,-0.8847,17,-1.2074,39,0.04093,0,-6.0938,1,-4.9192
ENSG00000157870,PRXL2B,172,0.62463,126,0.11254,72,-0.7528,96,-0.3233,126,0.12176,248,1.26490,151,0.40492,47,-1.4032,11,-3.4695
