Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to8,Feature log2 fold change topic 5to8
ENSG00000188976,NOC2L,35,-0.6113,24,-1.4794,75,1.48966
ENSG00000188290,HES4,20,-2.0461,85,0.28927,81,0.25182
ENSG00000187608,ISG15,544,3.53462,56,-1.3062,39,-2.1747
ENSG00000078808,SDF4,77,-0.3179,88,-0.1316,101,0.25059
ENSG00000160087,UBE2J2,81,0.61255,30,-1.2212,69,0.68215
ENSG00000127054,INTS11,104,1.03845,30,-1.2826,66,0.43791
ENSG00000107404,DVL1,53,0.06069,32,-0.9669,66,0.80178
ENSG00000175756,AURKAIP1,189,0.26144,149,-0.1798,164,0.04344
ENSG00000242485,MRPL20,215,0.21632,142,-0.6115,217,0.44017
ENSG00000179403,VWA1,44,-0.1080,68,0.96388,32,-0.9330
ENSG00000160075,SSU72,189,0.03773,133,-0.6908,222,0.59180
ENSG00000228594,FNDC10,13,-2.2612,44,-0.6220,83,1.15813
ENSG00000078369,GNB1,331,0.06179,264,-0.4174,357,0.34941
ENSG00000067606,PRKCZ,43,-2.3032,137,-0.7170,271,1.25321
ENSG00000162585,FAAP20,110,1.16130,52,-0.1974,47,-0.4992
ENSG00000157916,RER1,171,1.34563,53,-0.8437,77,-0.0976
ENSG00000157870,PRXL2B,68,-0.4026,69,-0.5139,106,0.62480
ENSG00000158109,TPRG1L,113,-0.4354,80,-1.2312,208,1.22860
ENSG00000130764,LRRC47,90,-0.0427,57,-0.9736,119,0.85628
ENSG00000069424,KCNAB2,33,-1.8716,56,-1.3570,173,1.76490
ENSG00000116254,CHD5,22,-2.5325,99,-0.3578,153,0.93774
ENSG00000116251,RPL22,520,0.54052,448,0.41631,289,-0.6861
ENSG00000116237,ICMT,49,0.21075,56,0.66308,32,-0.7620
ENSG00000097021,ACOT7,77,-2.3705,195,-1.2429,558,1.75040
ENSG00000162413,KLHL21,205,2.34511,22,-1.9183,54,-0.3336
ENSG00000171735,CAMTA1,97,-1.6919,242,-0.3883,371,0.85102
ENSG00000049245,VAMP3,41,-0.2708,68,0.86062,36,-0.7510
ENSG00000116288,PARK7,358,0.59302,228,-0.2227,244,-0.0972
ENSG00000142599,RERE,111,0.09722,104,-0.0250,104,-0.0201
ENSG00000074800,ENO1,927,0.49150,555,-0.4810,737,0.18559
ENSG00000171612,SLC25A33,50,0.22512,65,1.07627,26,-1.2335
ENSG00000171603,CLSTN1,642,1.20728,177,-1.2084,353,0.26527
ENSG00000162441,LZIC,35,-0.3572,64,0.96603,32,-0.8297
ENSG00000130939,UBE4B,42,-0.5720,41,-0.8033,78,0.93439
ENSG00000054523,KIF1B,471,0.24628,382,-0.1374,408,0.01244
ENSG00000142657,PGD,42,-1.2859,81,-0.3446,118,0.72941
ENSG00000160049,DFFA,52,0.24129,61,0.79153,31,-0.9180
ENSG00000120948,TARDBP,109,1.32691,36,-0.7566,48,-0.1495
ENSG00000116649,SRM,73,-0.2197,68,-0.4365,97,0.48682
ENSG00000116661,FBXO2,454,0.37157,249,-0.7907,426,0.50420
ENSG00000132879,FBXO44,38,-1.6487,55,-1.3590,167,1.71780
ENSG00000011021,CLCN6,67,-0.7411,60,-1.1493,151,1.28027
ENSG00000116685,KIAA2013,96,1.01723,33,-0.9940,58,0.25574
ENSG00000116688,MFN2,88,-0.3506,96,-0.2980,125,0.41421
ENSG00000189337,KAZN,78,0.19680,70,0.00470,67,-0.0950
ENSG00000142634,EFHD2,93,0.66536,25,-1.7696,83,0.99339
ENSG00000116786,PLEKHM2,49,-0.1974,48,-0.3282,63,0.38226
ENSG00000065526,SPEN,36,-0.2300,52,0.58462,35,-0.4786
ENSG00000159363,ATP13A2,56,-1.9565,129,-0.8882,286,1.36042
ENSG00000117118,SDHB,64,-0.3315,48,-1.0182,106,1.01852
ENSG00000117115,PADI2,104,0.04474,167,1.41074,52,-1.5324
ENSG00000053371,AKR7A2,256,1.99649,72,-0.4352,58,-1.0244
ENSG00000077549,CAPZB,299,0.36914,167,-0.7554,279,0.47758
ENSG00000173436,MICOS10,134,-0.6624,198,-0.0486,222,0.28998
ENSG00000158747,NBL1,114,-0.5484,86,-1.2324,226,1.27503
ENSG00000162545,CAMK2N1,136,-1.5969,387,0.06476,429,0.40265
ENSG00000158828,PINK1,232,-0.7594,335,-0.2389,436,0.49604
ENSG00000127483,HP1BP3,285,0.78725,143,-0.4948,181,0.02072
ENSG00000075151,EIF4G3,157,0.22689,84,-0.9888,171,0.73463
ENSG00000076864,RAP1GAP,17,-2.5506,55,-1.0905,142,1.63451
ENSG00000090686,USP48,57,0.06903,51,-0.1424,57,0.10114
ENSG00000070831,CDC42,304,0.07535,212,-0.6658,345,0.55356
ENSG00000125944,HNRNPR,166,1.24576,72,-0.2722,68,-0.4950
ENSG00000117318,ID3,187,2.80735,48,0.05636,10,-2.9327
ENSG00000142676,RPL11,689,0.91861,536,0.71593,235,-1.2846
ENSG00000057757,PITHD1,183,-0.7808,172,-1.1180,421,1.26849
ENSG00000189266,PNRC2,72,0.09527,54,-0.5015,78,0.40622
ENSG00000188529,SRSF10,91,0.75735,56,-0.0929,52,-0.3160
ENSG00000001461,NIPAL3,46,-1.0358,87,-0.0370,100,0.38226
ENSG00000133226,SRRM1,74,0.16062,64,-0.1076,67,0.02664
ENSG00000169504,CLIC4,114,0.91541,127,2.02056,10,-3.5450
ENSG00000117614,SYF2,133,1.10685,79,0.27209,49,-0.9275
ENSG00000117616,RSRP1,182,2.70655,33,-0.7150,23,-1.5866
ENSG00000183726,TMEM50A,50,-0.3930,63,-0.0083,67,0.16314
ENSG00000117640,MTFR1L,121,0.59557,66,-0.5330,90,0.16955
ENSG00000117632,STMN1,269,-1.3675,531,-0.4137,818,0.81136
ENSG00000142669,SH3BGRL3,304,0.36500,154,-0.9596,298,0.63825
