Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5
ENSG00000175756,AURKAIP1,426,1.07183,279,0.22392,139,-0.9768,225,-0.1628,166,-0.6888
ENSG00000242485,MRPL20,365,0.85941,105,-1.3335,138,-0.8954,188,-0.3848,372,0.90290
ENSG00000160075,SSU72,56,-2.2116,308,0.62606,129,-0.9185,185,-0.3137,427,1.33103
ENSG00000078369,GNB1,671,1.00645,440,0.16888,286,-0.5884,551,0.59957,58,-3.0664
ENSG00000067606,PRKCZ,101,-1.0330,14,-3.9875,118,-0.7788,398,1.57070,301,0.92766
ENSG00000158109,TPRG1L,249,0.47589,64,-1.8018,88,-1.3161,340,1.12307,223,0.26744
ENSG00000116254,CHD5,124,-0.2333,2,-5.9096,105,-0.5143,169,0.33380,306,1.60483
ENSG00000116251,RPL22,271,-1.3331,1235,1.47745,594,-0.0216,284,-1.2591,623,0.06338
ENSG00000097021,ACOT7,176,-1.4205,69,-2.8317,135,-1.8312,1185,2.43635,494,0.33682
ENSG00000171735,CAMTA1,457,0.46627,33,-3.7240,244,-0.6538,382,0.12794,664,1.25092
ENSG00000116288,PARK7,53,-3.2457,680,0.96104,295,-0.5918,320,-0.4585,729,1.11174
ENSG00000142599,RERE,139,-0.1969,154,-0.0134,144,-0.1336,69,-1.3468,269,1.09014
ENSG00000074800,ENO1,500,-1.1657,1461,0.72805,606,-0.8523,938,-0.1095,1482,0.75794
ENSG00000171603,CLSTN1,231,-1.3453,1081,1.52866,181,-1.7263,253,-1.1995,833,0.93214
ENSG00000054523,KIF1B,562,0.23432,593,0.33543,372,-0.4997,444,-0.1919,503,0.02820
ENSG00000116661,FBXO2,962,0.97186,487,-0.3218,189,-1.8526,711,0.36081,575,-0.0313
ENSG00000011021,CLCN6,216,0.92766,2,-5.8249,53,-1.5334,301,1.70005,97,-0.5526
ENSG00000159363,ATP13A2,171,-0.2088,25,-3.1946,84,-1.3876,532,2.30607,149,-0.4408
ENSG00000077549,CAPZB,55,-2.2318,225,0.04338,192,-0.2377,283,0.47227,343,0.86028
ENSG00000173436,MICOS10,116,-1.4850,175,-0.8302,210,-0.5245,285,0.00639,634,1.68699
ENSG00000158747,NBL1,171,0.17387,146,-0.1128,84,-1.0461,267,1.06332,109,-0.6058
ENSG00000162545,CAMK2N1,599,0.80035,46,-3.3814,392,-0.0115,176,-1.3451,760,1.32392
ENSG00000158828,PINK1,165,-1.5588,268,-0.7804,319,-0.4893,626,0.75251,734,1.08911
ENSG00000127483,HP1BP3,321,0.33191,330,0.38493,167,-0.8144,80,-1.9733,443,0.97972
ENSG00000075151,EIF4G3,161,-0.1597,238,0.56934,125,-0.5971,166,-0.0986,189,0.13536
ENSG00000070831,CDC42,247,-0.7402,501,0.51852,185,-1.2090,502,0.52190,464,0.37165
ENSG00000142676,RPL11,509,-0.4758,1366,1.46654,761,0.23768,317,-1.2526,389,-0.9242
ENSG00000057757,PITHD1,69,-2.0949,217,-0.2622,166,-0.7204,690,2.27046,118,-1.2729
ENSG00000117614,SYF2,24,-2.5623,206,1.01226,129,0.09249,66,-1.0548,188,0.82065
ENSG00000117632,STMN1,1292,0.85202,109,-3.2124,409,-1.1929,830,-0.0014,1514,1.19730
ENSG00000142669,SH3BGRL3,229,-0.7331,454,0.48697,161,-1.2987,472,0.56329,434,0.39801
ENSG00000198830,HMGN2,422,0.28068,765,1.54554,195,-1.0499,82,-2.3987,348,-0.0717
ENSG00000090273,NUDC,389,0.13472,859,1.85881,151,-1.4529,222,-0.8312,184,-1.1347
ENSG00000126709,IFI6,268,-0.9340,971,1.52607,154,-1.8131,504,0.15377,421,-0.1713
ENSG00000117758,STX12,153,-0.5809,322,0.78681,88,-1.4768,232,0.15070,273,0.45933
ENSG00000126698,DNAJC8,352,0.30481,390,0.49887,151,-1.1436,167,-0.9884,432,0.70431
ENSG00000130770,ATP5IF1,369,-0.2233,345,-0.3384,363,-0.2484,440,0.09447,573,0.59414
ENSG00000162512,SDC3,528,2.30230,172,-0.1832,165,-0.2586,67,-1.7252,23,-3.3327
ENSG00000134644,PUM1,233,0.01406,192,-0.3291,154,-0.7083,267,0.26019,312,0.56021
ENSG00000121766,ZCCHC17,4,-5.1544,2,-5.8249,134,0.01645,273,1.47828,250,1.27066
ENSG00000162517,PEF1,19,-2.5898,112,0.26403,67,-0.6406,264,2.25636,22,-2.3504
ENSG00000184007,PTP4A2,20,-3.2018,138,-0.2005,333,1.59630,122,-0.4139,159,0.05679
ENSG00000121774,KHDRBS1,426,1.14055,341,0.66731,116,-1.2241,76,-1.8668,239,-0.0029
ENSG00000084623,EIF3I,4,-5.5453,317,1.27580,106,-0.7870,103,-0.8270,309,1.21690
ENSG00000175130,MARCKSL1,1416,2.39613,335,-0.6862,409,-0.3491,61,-3.3040,270,-1.0376
ENSG00000162521,RBBP4,121,-0.9369,497,1.84091,73,-1.7444,81,-1.5685,278,0.52734
ENSG00000134684,YARS,50,-1.5905,156,0.33825,88,-0.6674,190,0.72452,166,0.45227
ENSG00000116560,SFPQ,38,-2.2883,305,1.31062,161,0.01704,89,-0.9780,202,0.44590
ENSG00000020129,NCDN,320,0.43569,49,-2.6265,109,-1.4011,369,0.71491,419,0.98463
ENSG00000126067,PSMB2,116,-0.8238,107,-0.9554,69,-1.6500,348,1.24102,297,0.89151
ENSG00000116871,MAP7D1,446,1.08880,103,-1.5157,183,-0.5856,310,0.35117,241,-0.1121
ENSG00000163875,MEAF6,41,-2.3557,74,-1.4366,110,-0.8022,146,-0.3386,511,2.45640
ENSG00000197982,C1orf122,917,1.56558,272,-0.7875,301,-0.6231,241,-0.9896,424,-0.0296
ENSG00000174574,AKIRIN1,79,-0.7786,155,0.39462,129,0.05639,139,0.19194,123,-0.0273
ENSG00000168653,NDUFS5,214,-1.3042,662,0.66172,353,-0.4902,608,0.49281,498,0.11740
ENSG00000127603,MACF1,471,1.00480,445,0.87924,278,-0.0291,75,-2.1541,142,-1.1546
ENSG00000116983,HPCAL4,108,-1.0061,289,0.73631,99,-1.1452,164,-0.3133,321,0.95367
ENSG00000131236,CAP1,204,0.03617,157,-0.4242,134,-0.6881,300,0.77314,205,0.04683
ENSG00000131238,PPT1,10,-4.2843,456,2.18316,130,-0.4778,128,-0.5128,132,-0.4537
ENSG00000117394,SLC2A1,16,-3.4343,162,0.22286,179,0.41824,45,-1.8935,314,1.64078
ENSG00000142949,PTPRF,194,-0.3069,548,1.85145,79,-1.7649,159,-0.6458,175,-0.4875
ENSG00000117410,ATP6V0B,122,-2.3951,417,-0.4480,191,-1.7119,765,0.66435,1200,1.68175
ENSG00000117419,ERI3,8,-4.8852,244,0.32956,109,-1.0546,540,2.16779,118,-0.9286
ENSG00000187147,RNF220,250,1.12923,82,-0.9259,84,-0.8861,262,1.23478,28,-2.5619
ENSG00000142937,RPS8,1188,0.33970,1725,1.09963,1010,0.03841,520,-1.0876,500,-1.1498
ENSG00000117450,PRDX1,1772,0.93124,1223,0.19747,696,-0.7837,903,-0.3443,895,-0.3598
ENSG00000173660,UQCRH,259,-1.1959,338,-0.7627,362,-0.6520,621,0.30071,1056,1.41802
ENSG00000123472,ATPAF1,166,0.08890,204,0.47664,111,-0.6157,171,0.14646,138,-0.2383
ENSG00000162368,CMPK1,76,-1.3645,230,0.55024,93,-1.0300,311,1.18549,147,-0.2675
ENSG00000162374,ELAVL4,135,-1.0971,2,-6.7790,163,-0.7935,804,2.71266,189,-0.5482
ENSG00000123091,RNF11,360,-0.2279,221,-1.0428,264,-0.7533,529,0.47875,672,0.96757
ENSG00000085832,EPS15,24,-2.6692,124,-0.0542,129,0.01776,184,0.70048,177,0.61775
ENSG00000169213,RAB3B,89,-1.7169,2,-6.7723,184,-0.5570,446,1.11675,545,1.59483
ENSG00000162378,ZYG11B,264,0.30851,47,-2.4882,91,-1.4852,141,-0.7817,571,2.06926
ENSG00000116209,TMEM59,275,-0.0959,500,1.07337,161,-0.9969,284,-0.0352,229,-0.4110
ENSG00000116133,DHCR24,826,1.96532,2,-7.1275,153,-1.3043,471,0.65278,217,-0.7405
ENSG00000162407,PLPP3,784,1.36855,525,0.51083,381,-0.0873,38,-3.6601,270,-0.6776
ENSG00000162599,NFIA,879,1.22169,1020,1.58003,331,-0.6342,19,-4.9256,136,-2.0463
ENSG00000162434,JAK1,261,0.92687,122,-0.4922,63,-1.5562,149,-0.1508,214,0.52666
ENSG00000162433,AK4,580,2.59072,8,-4.8804,80,-1.4591,242,0.42300,54,-2.0687
ENSG00000116675,DNAJC6,259,-0.9142,93,-2.5056,205,-1.2900,724,0.96005,931,1.53877
ENSG00000142864,SERBP1,242,-0.0884,671,2.16196,185,-0.5477,14,-4.3961,157,-0.8230
ENSG00000162595,DIRAS3,399,-0.1964,2,-7.5857,120,-2.1252,61,-3.1298,1645,3.49136
ENSG00000116729,WLS,125,-0.3064,397,2.19584,186,0.42217,31,-2.4975,3,-5.7487
ENSG00000116754,SRSF11,285,0.48740,492,1.69864,126,-0.9482,143,-0.7365,52,-2.3309
ENSG00000172260,NEGR1,49,-2.1961,53,-2.0857,121,-0.7748,356,1.25262,374,1.36589
ENSG00000077254,USP33,35,-2.2110,59,-1.3976,94,-0.6672,143,0.06136,359,2.11084
ENSG00000137941,TTLL7,295,1.31225,66,-1.4123,134,-0.2402,115,-0.4997,158,0.05509
ENSG00000142875,PRKACB,426,0.32924,3,-7.1067,271,-0.4772,640,1.16201,443,0.40109
ENSG00000153904,DDAH1,477,0.17119,946,1.62783,167,-1.5785,282,-0.7405,297,-0.6542
ENSG00000183291,SELENOF,79,-1.9185,505,1.36651,135,-1.0923,114,-1.3539,453,1.11944
ENSG00000143013,LMO4,192,-0.4919,529,1.50984,139,-1.0212,32,-3.2413,379,0.76232
ENSG00000122406,RPL5,1037,0.44045,1157,0.65555,642,-0.4256,452,-1.0092,805,-0.0295
ENSG00000117519,CNN3,347,0.85470,462,1.49864,168,-0.4946,37,-2.8433,100,-1.3323
ENSG00000197780,TAF13,203,0.84884,2,-5.7865,140,0.12911,112,-0.2749,196,0.77126
ENSG00000031698,SARS,52,-1.9795,41,-2.3378,184,0.07052,257,0.71686,348,1.37945
ENSG00000134243,SORT1,9,-4.6793,281,0.70403,193,-0.0107,82,-1.4308,406,1.51815
ENSG00000134202,GSTM3,376,0.11818,492,0.63401,165,-1.2680,255,-0.5568,471,0.54847
ENSG00000168710,AHCYL1,1328,1.06108,1164,0.78174,1103,0.67091,91,-3.3624,186,-2.3048
ENSG00000134248,LAMTOR5,68,-1.8381,216,0.04260,137,-0.7419,324,0.82956,308,0.72378
ENSG00000116459,ATP5PB,141,-0.8981,279,0.27802,120,-1.1577,277,0.26509,380,0.89472
ENSG00000116489,CAPZA1,11,-3.5829,55,-1.1437,78,-0.5851,205,1.25052,199,1.18315
ENSG00000155366,RHOC,183,-0.2042,589,2.41550,170,-0.3374,22,-3.5195,65,-1.8783
ENSG00000116752,BCAS2,238,0.78288,138,-0.2347,59,-1.6278,245,0.84748,110,-0.6322
ENSG00000009307,CSDE1,301,-0.6957,419,-0.1312,408,-0.1775,549,0.36515,577,0.45964
ENSG00000163399,ATP1A1,140,-2.0874,424,-0.3125,90,-2.7513,1758,3.18058,119,-2.3354
