Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6
ENSG00000188976,NOC2L,58,-0.2445,69,0.07471,51,-0.5486,129,1.24680,42,-0.7701
ENSG00000188290,HES4,46,-1.0843,89,-0.0210,85,-0.1245,95,0.09581,140,0.80264
ENSG00000187608,ISG15,116,1.05770,37,-0.9424,28,-1.5816,99,0.74973,85,0.47048
ENSG00000078808,SDF4,78,-0.3428,92,-0.0516,82,-0.3097,124,0.46896,113,0.30194
ENSG00000107404,DVL1,28,-0.9839,79,0.81679,43,-0.3315,43,-0.2818,68,0.51296
ENSG00000175756,AURKAIP1,104,-0.7085,148,-0.1231,154,-0.0650,174,0.15879,219,0.57788
ENSG00000242485,MRPL20,191,-0.2590,189,-0.2800,251,0.26345,146,-0.7081,310,0.58880
ENSG00000160075,SSU72,115,-0.9091,176,-0.2158,243,0.44660,176,-0.2202,246,0.36707
ENSG00000228594,FNDC10,35,-1.5824,67,-0.5512,115,0.46627,129,0.57405,101,0.12763
ENSG00000078369,GNB1,243,-0.8816,367,-0.2102,499,0.42407,453,0.15343,426,0.04673
ENSG00000067606,PRKCZ,221,-0.1503,128,-1.0423,276,0.30719,297,0.36897,248,0.04787
ENSG00000162585,FAAP20,94,0.54592,69,-0.0156,25,-1.8677,141,1.35425,62,-0.1804
ENSG00000157916,RER1,76,-0.2572,88,0.00075,87,-0.0129,106,0.32937,83,-0.0946
ENSG00000157870,PRXL2B,57,-0.7971,96,0.07631,106,0.31374,69,-0.4804,118,0.44490
ENSG00000158109,TPRG1L,90,-1.4217,116,-1.0166,285,0.65064,211,-0.0432,309,0.64528
ENSG00000130764,LRRC47,61,-0.7002,79,-0.2762,78,-0.3707,168,1.09505,95,0.03893
ENSG00000069424,KCNAB2,54,-1.6792,59,-1.5367,191,0.51559,243,0.84526,179,0.28153
ENSG00000116254,CHD5,121,-0.1195,109,-0.2882,99,-0.5424,151,0.27395,197,0.76378
ENSG00000116251,RPL22,405,0.57271,383,0.47344,233,-0.4762,188,-0.7458,322,0.15811
ENSG00000097021,ACOT7,155,-2.1508,362,-0.8455,894,0.96947,806,0.52209,502,-0.3099
ENSG00000171735,CAMTA1,280,-0.0797,272,-0.1291,172,-1.0357,573,1.27121,290,-0.0211
ENSG00000116288,PARK7,151,-1.3525,339,-0.0420,447,0.58774,272,-0.4125,428,0.36692
ENSG00000142599,RERE,105,0.34776,88,0.02076,58,-0.7955,94,0.14040,117,0.53082
ENSG00000074800,ENO1,498,-0.6750,665,-0.1977,861,0.32023,721,-0.0598,873,0.27531
ENSG00000171603,CLSTN1,254,-0.9927,304,-0.7070,350,-0.5773,872,1.18613,657,0.62545
ENSG00000130939,UBE4B,63,0.16141,16,-1.9913,46,-0.4729,89,0.79902,85,0.70853
ENSG00000054523,KIF1B,387,-0.1109,294,-0.5671,555,0.70124,375,-0.1648,309,-0.4854
ENSG00000142657,PGD,57,-0.7535,53,-0.8792,115,0.56064,120,0.51344,81,-0.1880
ENSG00000160049,DFFA,88,0.63766,64,0.05283,48,-0.5095,60,-0.0596,63,0.03359
ENSG00000120948,TARDBP,72,-0.0267,59,-0.3776,54,-0.6199,146,1.30110,56,-0.4608
ENSG00000116649,SRM,42,-1.1050,75,-0.1642,105,0.55208,88,0.10283,82,-0.0312
ENSG00000116661,FBXO2,213,-0.9459,369,-0.0362,568,1.01139,310,-0.3307,234,-0.7918
ENSG00000132879,FBXO44,72,-1.3892,91,-1.0259,214,0.54192,186,0.16296,239,0.62233
ENSG00000011021,CLCN6,66,-0.9568,78,-0.6868,162,0.75770,156,0.50472,83,-0.5951
ENSG00000116688,MFN2,90,-0.8450,128,-0.2763,129,-0.3092,291,1.25498,133,-0.2094
ENSG00000048707,VPS13D,66,0.29005,65,0.23905,34,-0.9689,46,-0.3208,92,0.89471
ENSG00000189337,KAZN,101,0.81981,27,-1.3974,64,-0.0144,71,0.16330,60,-0.1312
ENSG00000116786,PLEKHM2,35,-0.7002,87,0.86528,43,-0.4769,89,0.90552,28,-1.0783
ENSG00000065526,SPEN,140,2.05842,17,-1.7550,12,-2.5169,48,-0.0955,77,0.74920
ENSG00000159363,ATP13A2,136,-1.4889,184,-1.0160,495,0.89933,451,0.49471,289,-0.2840
ENSG00000117118,SDHB,52,-0.7138,66,-0.3214,114,0.85974,66,-0.3138,66,-0.3086
ENSG00000117115,PADI2,442,2.34068,184,0.40789,38,-2.3660,49,-1.7336,124,-0.2742
ENSG00000053371,AKR7A2,54,-0.7010,88,0.12349,90,0.20982,71,-0.2375,98,0.32303
ENSG00000077549,CAPZB,161,-0.6635,229,-0.0786,288,0.42588,294,0.36682,175,-0.5277
ENSG00000173436,MICOS10,137,-0.6271,154,-0.4348,254,0.56374,232,0.26768,164,-0.3278
ENSG00000158747,NBL1,126,-0.7872,215,0.10608,171,-0.3508,358,1.06454,173,-0.2678
ENSG00000162545,CAMK2N1,570,0.08407,561,0.05649,342,-0.9117,430,-0.3937,1012,1.17313
ENSG00000158828,PINK1,321,-0.6030,401,-0.2341,587,0.56582,432,-0.1079,432,-0.1086
ENSG00000127483,HP1BP3,195,0.20461,224,0.44664,116,-0.8054,226,0.46683,166,-0.0758
ENSG00000075151,EIF4G3,147,0.17288,114,-0.2722,92,-0.7364,204,0.77583,150,0.21140
ENSG00000076864,RAP1GAP,35,-2.0129,100,-0.3582,118,-0.0969,216,1.04376,153,0.38691
ENSG00000090686,USP48,96,0.61526,38,-0.9444,52,-0.5422,101,0.72539,68,0.00601
