Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7
ENSG00000188290,HES4,52,-1.2617,82,-0.5530,133,0.29933,51,-1.2823,8,-3.9703,345,2.16947
ENSG00000187608,ISG15,83,-0.1662,36,-1.4876,22,-2.4108,23,-2.1110,46,-1.0935,408,3.38407
ENSG00000078808,SDF4,46,-1.4114,95,-0.2850,119,0.10869,105,-0.1141,116,0.04739,188,0.91417
ENSG00000160087,UBE2J2,43,-0.6550,67,0.05217,103,1.05191,78,0.32170,29,-1.2538,29,-1.2405
ENSG00000127054,INTS11,38,-0.7125,67,0.21865,64,0.17150,57,-0.0551,53,-0.1601,69,0.26269
ENSG00000107404,DVL1,49,-0.6127,44,-0.7841,84,0.35251,84,0.27962,79,0.18349,73,0.05964
ENSG00000175756,AURKAIP1,98,-0.6456,164,0.19581,143,-0.0428,106,-0.5150,127,-0.2322,240,0.88250
ENSG00000221978,CCNL2,66,0.38410,55,0.07674,27,-1.1868,22,-1.3721,82,0.77486,89,0.92219
ENSG00000242485,MRPL20,127,-0.2946,254,0.90955,65,-1.5057,133,-0.2238,222,0.65932,197,0.44778
ENSG00000179403,VWA1,77,-0.7134,4,-4.9584,24,-2.6781,529,3.33539,54,-1.2750,128,0.10458
ENSG00000160075,SSU72,88,-1.2789,268,0.53890,218,0.21793,177,-0.1682,188,-0.0704,216,0.16166
ENSG00000228594,FNDC10,28,-1.7706,134,0.76212,202,2.28251,31,-1.6157,11,-3.0606,0,-6.9736
ENSG00000078369,GNB1,148,-1.0940,307,0.07937,303,0.06670,393,0.50913,224,-0.4411,372,0.41246
ENSG00000067606,PRKCZ,81,-1.3010,321,0.99114,235,0.52393,217,0.27981,57,-1.8484,142,-0.4293
ENSG00000162585,FAAP20,77,-0.0291,11,-3.0154,41,-1.1869,53,-0.6156,145,1.10690,180,1.54833
ENSG00000157916,RER1,33,-1.7446,93,-0.1347,73,-0.6016,139,0.55178,75,-0.4806,219,1.42506
ENSG00000157870,PRXL2B,73,-0.6739,254,1.54547,145,0.58503,12,-3.4056,108,-0.0363,37,-1.7299
ENSG00000158109,TPRG1L,32,-2.1160,217,0.99956,145,0.32029,81,-0.6813,89,-0.5482,159,0.43117
ENSG00000130764,LRRC47,51,-0.6593,113,0.67135,76,-0.0258,27,-1.6318,112,0.66194,82,0.11624
ENSG00000069424,KCNAB2,53,-1.1740,212,1.17119,219,1.68464,12,-3.3335,52,-1.1987,9,-3.7992
ENSG00000116254,CHD5,119,0.12764,145,0.46660,175,1.03394,14,-3.1022,39,-1.6467,108,-0.0468
ENSG00000116251,RPL22,349,0.04944,179,-1.0287,131,-1.6844,369,0.14307,492,0.64597,724,1.39274
ENSG00000097021,ACOT7,92,-1.7420,722,1.82512,405,0.83830,164,-0.8524,68,-2.1984,87,-1.8316
ENSG00000162413,KLHL21,29,-1.3621,97,0.62455,64,-0.1061,87,0.42777,84,0.35819,49,-0.5130
ENSG00000171735,CAMTA1,174,-0.6388,197,-0.4447,319,0.45527,122,-1.2021,197,-0.4453,475,1.10162
ENSG00000049245,VAMP3,41,-1.0903,33,-1.4225,17,-2.6360,289,2.60498,74,-0.1552,100,0.34558
ENSG00000116288,PARK7,140,-0.5224,240,0.37452,92,-1.3427,200,0.05889,263,0.53648,323,0.91823
ENSG00000142599,RERE,72,-0.7289,69,-0.7821,95,-0.3205,87,-0.4181,146,0.45418,221,1.22881
ENSG00000074800,ENO1,428,-0.6675,1138,1.01542,570,-0.2425,331,-1.0717,826,0.42695,649,0.01151
ENSG00000171603,CLSTN1,182,-1.1255,451,0.35589,352,-0.0794,271,-0.4969,545,0.69101,413,0.20310
ENSG00000130939,UBE4B,25,-1.4574,107,0.93077,72,0.27706,61,-0.0484,39,-0.7883,66,0.06438
ENSG00000054523,KIF1B,304,-0.5387,590,0.58052,426,0.01807,423,0.00204,529,0.38654,258,-0.7999
ENSG00000142657,PGD,37,-1.1436,105,0.54778,74,-0.0535,58,-0.4568,70,-0.1498,116,0.73245
ENSG00000160049,DFFA,71,0.45554,39,-0.5471,50,-0.1835,55,0.00608,98,1.02938,20,-1.5485
ENSG00000120948,TARDBP,40,-0.9144,88,0.37310,34,-1.3045,9,-3.1168,90,0.42034,199,2.00386
ENSG00000116649,SRM,60,-0.4004,107,0.56973,39,-1.2080,88,0.23338,75,-0.0501,129,0.91800
ENSG00000116661,FBXO2,168,-1.3843,844,1.37349,499,0.46937,91,-2.3000,581,0.65195,116,-1.9371
ENSG00000132879,FBXO44,79,-0.6653,260,1.45267,167,0.74699,32,-2.0439,65,-0.9625,60,-1.0960
ENSG00000011021,CLCN6,57,-0.9941,224,1.36490,155,0.83345,62,-0.8559,59,-0.9414,31,-1.9223
ENSG00000116685,KIAA2013,34,-1.0502,66,-0.0075,55,-0.3832,85,0.42996,64,-0.0509,106,0.81421
ENSG00000116688,MFN2,66,-1.0280,225,1.05709,114,-0.1718,113,-0.1650,79,-0.7459,162,0.44680
ENSG00000048707,VPS13D,39,-0.8237,47,-0.5298,52,-0.4287,38,-0.8435,77,0.30180,148,1.53671
ENSG00000189337,KAZN,27,-1.4490,86,0.42770,26,-1.6800,157,1.58822,78,0.26055,69,0.06083
ENSG00000065526,SPEN,72,0.01651,38,-0.9920,19,-2.2297,79,0.15959,116,0.85495,156,1.43917
ENSG00000055070,SZRD1,36,-0.7324,32,-0.9021,30,-1.1436,88,0.76409,82,0.63771,99,0.97794
ENSG00000159363,ATP13A2,77,-1.3162,409,1.55911,272,0.97002,83,-1.2096,67,-1.5331,58,-1.7595
ENSG00000117118,SDHB,32,-1.2019,71,0.05053,122,1.35757,48,-0.5697,58,-0.2607,27,-1.4905
ENSG00000117115,PADI2,147,-0.3178,2,-6.3499,16,-3.9193,609,2.51420,232,0.45694,225,0.40068
ENSG00000053371,AKR7A2,31,-1.1762,66,0.04123,46,-0.6400,10,-2.8739,164,1.75313,90,0.57341
ENSG00000077549,CAPZB,119,-1.2134,443,0.99903,271,0.14067,211,-0.3020,259,0.04184,197,-0.4090
ENSG00000173436,MICOS10,73,-1.2366,177,0.18421,117,-0.5896,311,1.21524,156,-0.0263,161,0.02638
ENSG00000158747,NBL1,148,-0.1628,210,0.42548,181,0.21307,69,-1.3698,123,-0.4652,232,0.60680
ENSG00000162545,CAMK2N1,370,0.26542,178,-0.9282,348,0.19689,580,1.08665,135,-1.3629,257,-0.3459
ENSG00000158828,PINK1,234,-0.2525,360,0.47924,312,0.27896,151,-0.9575,218,-0.3711,323,0.28508
ENSG00000127483,HP1BP3,99,-0.9369,85,-1.1819,113,-0.8367,239,0.51362,255,0.63225,337,1.15737
ENSG00000075151,EIF4G3,48,-1.6569,170,0.35847,158,0.28185,139,0.01488,126,-0.1430,165,0.31052
ENSG00000076864,RAP1GAP,47,-1.0119,162,1.09540,149,1.22379,11,-3.2035,27,-1.8353,71,-0.3496
ENSG00000070831,CDC42,166,-0.9998,441,0.61560,230,-0.5722,390,0.39479,288,-0.1201,423,0.53904
ENSG00000125944,HNRNPR,24,-1.9940,72,-0.3311,70,-0.4367,160,1.07131,91,0.06217,128,0.64856
ENSG00000117318,ID3,24,-1.8636,0,-8.2828,27,-1.8801,18,-2.2731,184,1.57484,273,2.54197
ENSG00000142676,RPL11,470,0.02897,126,-2.0294,131,-2.1715,713,0.76160,617,0.49926,1045,1.51681
ENSG00000057757,PITHD1,124,-1.3656,806,1.95627,315,0.14816,146,-1.1181,168,-0.9025,177,-0.8208
ENSG00000189266,PNRC2,57,-0.5200,51,-0.6855,65,-0.3519,53,-0.6347,58,-0.4914,198,1.75763
ENSG00000001461,NIPAL3,77,-0.2752,91,-0.0074,108,0.36287,150,0.87777,69,-0.4498,34,-1.5500
ENSG00000133226,SRRM1,57,-0.2513,19,-1.9145,64,-0.0708,137,1.30938,96,0.63048,29,-1.3434
ENSG00000169504,CLIC4,45,-1.5265,14,-3.2778,61,-1.2152,205,0.97134,169,0.60906,277,1.57938
ENSG00000117614,SYF2,33,-1.2901,80,0.12576,19,-2.2954,27,-1.5639,110,0.68443,231,2.25087
