Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,15,-0.6514,43,1.06675,21,-0.1348,26,0.18800,14,-0.7752,12,-0.9957,25,0.11458,25,0.11885,26,0.20789
ENSG00000188976,NOC2L,15,-2.1592,33,-1.0049,99,0.74750,85,0.49341,84,0.47464,41,-0.6910,67,0.09919,90,0.57756,54,-0.2369
ENSG00000188290,HES4,15,-2.4222,33,-1.2747,116,0.71693,113,0.67611,88,0.25130,71,-0.0968,45,-0.8136,69,-0.1508,129,0.90253
ENSG00000187608,ISG15,15,-1.7717,76,0.74179,53,0.12800,18,-1.4779,36,-0.4869,49,0.01639,40,-0.3137,84,0.92220,66,0.51604
ENSG00000078808,SDF4,15,-2.5407,70,-0.2537,93,0.19812,99,0.31560,101,0.34438,69,-0.2693,69,-0.2718,110,0.48749,111,0.49948
ENSG00000176022,B3GALT6,15,-1.5618,53,0.37612,55,0.43808,78,1.02995,69,0.81258,14,-1.7131,43,0.02265,34,-0.3264,19,-1.2011
ENSG00000160087,UBE2J2,15,-1.8342,68,0.48065,70,0.53935,50,-0.0357,64,0.38252,39,-0.3997,31,-0.7542,31,-0.7766,88,0.92237
ENSG00000131584,ACAP3,15,-1.1538,7,-2.1907,43,0.49788,40,0.36611,28,-0.2277,50,0.72821,27,-0.2963,43,0.48284,35,0.15631
ENSG00000127054,INTS11,15,-1.8262,59,0.25842,80,0.76081,46,-0.1511,60,0.28101,50,-0.0055,40,-0.3537,57,0.20680,46,-0.1357
ENSG00000224051,CPTP,15,-1.1392,15,-1.1610,64,1.19416,37,0.22512,16,-1.0450,14,-1.2498,52,0.82649,32,0.02219,41,0.40881
ENSG00000107404,DVL1,150,1.49405,42,-0.6652,47,-0.4977,56,-0.1932,48,-0.4560,79,0.35387,21,-1.6678,51,-0.3580,80,0.36519
ENSG00000175756,AURKAIP1,144,-0.2700,183,0.11529,167,-0.0258,165,-0.0530,208,0.32852,148,-0.2270,146,-0.2480,193,0.20935,178,0.07391
ENSG00000221978,CCNL2,15,-1.8570,12,-2.1623,61,0.26543,36,-0.5694,52,0.03021,67,0.43712,88,0.89462,70,0.50340,62,0.30953
ENSG00000242485,MRPL20,140,-0.4924,263,0.53423,166,-0.2275,221,0.23859,189,-0.0197,190,-0.0072,126,-0.6512,163,-0.2492,259,0.50730
ENSG00000179403,VWA1,15,-1.7118,0,-5.7283,22,-1.1536,2,-4.3073,16,-1.6201,156,2.22244,143,2.02686,33,-0.5617,33,-0.5560
ENSG00000205090,TMEM240,152,2.45323,12,-1.9229,44,0.08950,11,-1.9533,14,-1.6390,44,0.10700,22,-0.9884,27,-0.6817,46,0.18290
ENSG00000160075,SSU72,427,0.96101,281,0.24385,217,-0.1805,197,-0.3270,251,0.05760,149,-0.7684,237,-0.0371,243,0.00792,178,-0.4911
ENSG00000228594,FNDC10,15,-2.6072,103,0.29981,93,0.12801,147,0.91385,98,0.21380,50,-0.8593,77,-0.1638,90,0.07289,99,0.23304
ENSG00000197530,MIB2,15,-1.3624,16,-1.2826,59,0.78747,21,-0.8939,35,-0.1059,28,-0.4203,27,-0.4858,61,0.82787,71,1.09939
ENSG00000008128,CDK11A,15,-0.2989,2,-2.8311,13,-0.4909,9,-1.0916,13,-0.5354,45,1.57098,13,-0.5268,18,-0.0689,36,1.14792
ENSG00000215790,SLC35E2A,15,-0.6448,24,0.04109,40,0.94989,18,-0.3765,18,-0.3606,15,-0.7033,4,-2.6383,17,-0.4944,56,1.55404
ENSG00000008130,NADK,15,-0.9627,4,-2.8268,22,-0.3670,27,-0.0861,47,0.84837,25,-0.1715,30,0.12081,33,0.25645,50,0.95933
ENSG00000078369,GNB1,274,-0.7479,347,-0.3795,520,0.27242,503,0.21797,568,0.42119,337,-0.4262,592,0.48963,432,-0.0303,389,-0.2005
ENSG00000067606,PRKCZ,566,1.14913,314,0.13209,253,-0.2187,303,0.07579,243,-0.2844,178,-0.7713,308,0.09844,261,-0.1680,181,-0.7407
ENSG00000162585,FAAP20,15,-2.2333,120,0.99473,82,0.35228,31,-1.1636,36,-0.9665,68,0.04759,50,-0.4545,100,0.68375,95,0.59572
ENSG00000157933,SKI,15,-0.9534,10,-1.5562,37,0.47085,8,-1.9169,34,0.31866,37,0.42712,17,-0.8118,43,0.68891,52,1.05304
ENSG00000157916,RER1,15,-2.4490,41,-0.9946,85,0.17017,104,0.50440,112,0.61850,64,-0.3022,113,0.63980,94,0.32837,64,-0.2867
ENSG00000157911,PEX10,15,-1.3756,83,1.38605,46,0.33583,34,-0.1327,32,-0.2366,23,-0.7232,66,0.95930,19,-1.0266,16,-1.2616
ENSG00000157870,PRXL2B,15,-2.5656,106,0.39682,75,-0.1786,111,0.47901,134,0.80044,58,-0.5634,34,-1.3768,94,0.20110,122,0.62731
ENSG00000158109,TPRG1L,146,-0.6028,229,0.11336,297,0.54449,343,0.79590,286,0.48323,101,-1.1631,129,-0.8002,194,-0.1559,198,-0.1245
ENSG00000130764,LRRC47,292,1.46129,54,-1.3127,114,-0.1726,94,-0.4760,105,-0.3041,57,-1.2462,189,0.67418,87,-0.5861,146,0.23951
ENSG00000116198,CEP104,15,-0.8927,15,-0.9274,29,0.11761,24,-0.2121,21,-0.3739,52,1.11553,13,-1.0628,47,0.92351,27,-0.0277
ENSG00000196581,AJAP1,15,-0.3775,0,-4.8312,44,1.42518,3,-2.6439,7,-1.5265,24,0.37374,13,-0.5759,27,0.53173,40,1.22014
ENSG00000069424,KCNAB2,151,0.31277,120,-0.0656,204,0.82865,168,0.49351,67,-0.9670,46,-1.5280,116,-0.1209,140,0.19162,110,-0.2034
ENSG00000116254,CHD5,289,0.85502,148,-0.2650,193,0.16737,75,-1.2992,280,0.79647,90,-1.0266,91,-1.0106,215,0.34486,185,0.10259
ENSG00000116251,RPL22,15,-4.5812,405,0.32243,187,-0.9082,196,-0.8350,220,-0.6590,632,1.09287,471,0.57540,453,0.50843,419,0.37942
ENSG00000116237,ICMT,15,-1.5707,20,-1.1879,81,1.08773,62,0.62245,52,0.33257,27,-0.7081,13,-1.8191,42,-0.0332,71,0.87197
ENSG00000097021,ACOT7,281,-1.2431,908,0.62493,838,0.48850,1253,1.19916,934,0.67322,220,-1.6174,466,-0.4657,277,-1.2697,440,-0.5554
ENSG00000162408,NOL9,294,2.90934,66,-0.0335,49,-0.4917,35,-1.0273,21,-1.7831,35,-1.0241,28,-1.3508,30,-1.2576,47,-0.5611
ENSG00000162413,KLHL21,153,1.75189,41,-0.5183,63,0.16624,43,-0.4344,64,0.18482,40,-0.5539,24,-1.3537,28,-1.1088,57,0.00570
ENSG00000041988,THAP3,15,-0.7776,33,0.45326,33,0.45051,33,0.43628,17,-0.6424,13,-1.0205,33,0.44260,12,-1.0984,37,0.63744
ENSG00000007923,DNAJC11,15,-1.4727,61,0.70220,45,0.19515,41,0.04063,43,0.11595,35,-0.2200,24,-0.8089,51,0.39490,45,0.19020
ENSG00000171735,CAMTA1,277,-0.2461,271,-0.2827,491,0.70084,161,-1.0889,182,-0.9004,249,-0.4122,357,0.16195,572,0.96907,346,0.11449
ENSG00000049245,VAMP3,15,-1.8562,57,0.15492,21,-1.3623,34,-0.6296,10,-2.4958,126,1.56998,132,1.65819,28,-0.9190,40,-0.4084
ENSG00000049246,PER3,15,-0.7670,2,-3.7454,19,-0.3863,13,-0.9538,16,-0.7094,49,1.14887,31,0.38122,38,0.68892,40,0.79934
ENSG00000116288,PARK7,134,-1.3696,350,0.13041,375,0.24406,409,0.38631,326,0.01357,274,-0.2661,284,-0.2094,384,0.28153,374,0.23773
ENSG00000116285,ERRFI1,15,-0.8320,8,-1.6723,34,0.45555,22,-0.2624,36,0.55476,27,0.06257,41,0.75168,28,0.12998,21,-0.3177
ENSG00000162426,SLC45A1,15,-1.5337,29,-0.5558,75,1.01104,61,0.64833,59,0.57466,18,-1.2725,24,-0.8166,58,0.56723,32,-0.4002
ENSG00000142599,RERE,15,-2.6122,84,-0.0371,110,0.40533,67,-0.3903,64,-0.4645,87,0.01762,69,-0.3433,116,0.49272,161,1.06779
ENSG00000074800,ENO1,830,0.06215,796,-0.0069,941,0.26881,1140,0.59078,869,0.13762,512,-0.7048,581,-0.5074,664,-0.2976,858,0.11670
ENSG00000171612,SLC25A33,152,1.43344,52,-0.3870,52,-0.3893,30,-1.2527,35,-1.0006,48,-0.5186,63,-0.0821,50,-0.4584,117,0.95772
ENSG00000188807,TMEM201,154,2.09047,31,-0.7022,33,-0.6009,19,-1.4566,58,0.28742,25,-1.0291,66,0.48399,10,-2.3264,43,-0.1967
ENSG00000171603,CLSTN1,277,-0.7692,556,0.34619,752,0.86369,372,-0.3099,406,-0.1686,259,-0.8712,339,-0.4532,540,0.29665,555,0.34289
ENSG00000178585,CTNNBIP1,150,1.67721,28,-1.1114,41,-0.5577,59,0.02700,54,-0.1296,72,0.35485,10,-2.6899,70,0.29039,40,-0.5934
ENSG00000162441,LZIC,15,-1.1441,1,-4.4970,13,-1.3742,46,0.60191,35,0.12714,74,1.46297,12,-1.4963,52,0.80286,40,0.35262
ENSG00000130939,UBE4B,15,-1.9113,76,0.57311,77,0.59791,92,0.90703,45,-0.2556,41,-0.4102,21,-1.4601,64,0.30217,50,-0.1022
ENSG00000054523,KIF1B,119,-1.7997,400,0.07716,335,-0.2088,412,0.12511,326,-0.2505,433,0.20809,555,0.62473,465,0.32674,387,0.02582
ENSG00000142657,PGD,433,2.10549,83,-0.7926,126,-0.1355,151,0.15723,107,-0.3984,65,-1.1571,117,-0.2572,61,-1.2536,91,-0.6405
ENSG00000160049,DFFA,15,-1.8867,38,-0.5029,46,-0.2038,58,0.15211,64,0.32119,79,0.66829,40,-0.4310,70,0.46679,63,0.30068
ENSG00000142655,PEX14,15,-1.1795,83,1.64789,33,0.00715,23,-0.5575,13,-1.3484,19,-0.8512,47,0.61539,13,-1.3514,46,0.57890
ENSG00000120948,TARDBP,292,2.18527,63,-0.5392,75,-0.2845,58,-0.6825,58,-0.6719,63,-0.5616,65,-0.5081,58,-0.6788,71,-0.3562
ENSG00000116649,SRM,15,-2.6555,87,-0.0356,80,-0.1594,113,0.39857,127,0.60224,41,-1.1865,144,0.81086,108,0.31919,82,-0.1159
