Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5
ENSG00000078369,GNB1,53,-2.6826,164,-0.9370,66,-2.3509,758,2.19282,379,0.54261
ENSG00000116251,RPL22,53,-3.3891,196,-1.4037,219,-1.2333,839,1.22170,971,1.56948
ENSG00000171735,CAMTA1,53,-1.4072,12,-3.5877,92,-0.5155,5,-4.8433,459,3.47926
ENSG00000116288,PARK7,52,-2.0491,104,-0.9697,117,-0.7852,420,1.73631,229,0.40516
ENSG00000074800,ENO1,52,-3.6782,130,-2.3218,450,-0.3468,628,0.24789,1482,2.23148
ENSG00000171603,CLSTN1,52,-1.4920,14,-3.4558,48,-1.6201,9,-4.0009,521,4.05028
ENSG00000054523,KIF1B,54,-2.2714,365,0.98695,137,-0.8066,41,-2.6879,503,1.75148
ENSG00000162545,CAMK2N1,52,-1.8568,12,-3.9674,164,0.01634,40,-2.2508,545,3.00857
ENSG00000158828,PINK1,52,-2.4466,12,-4.5419,125,-1.0992,700,2.47380,313,0.48845
ENSG00000142676,RPL11,53,-4.1811,1090,0.62721,361,-1.2961,1107,0.65757,1302,0.99530
ENSG00000133226,SRRM1,53,-1.1183,12,-3.2899,227,1.64043,22,-2.4780,202,1.35983
ENSG00000117632,STMN1,55,-1.7003,12,-3.8819,49,-1.8879,51,-1.8195,606,3.84687
ENSG00000162512,SDC3,52,-0.9864,12,-3.1690,124,0.52933,5,-4.4384,274,2.49159
ENSG00000184007,PTP4A2,53,-2.2803,231,0.08707,266,0.35548,99,-1.3319,450,1.46623
ENSG00000175130,MARCKSL1,2720,3.89717,12,-6.0819,129,-2.6791,5,-7.3147,582,-0.2995
ENSG00000197982,C1orf122,53,-2.1154,329,1.03001,103,-1.0762,5,-5.4780,483,1.97636
ENSG00000168653,NDUFS5,53,-2.3322,190,-0.2876,71,-1.8655,435,1.34403,370,0.98002
ENSG00000127603,MACF1,2416,3.15415,12,-6.0977,243,-1.7389,396,-0.9679,432,-0.8287
ENSG00000117394,SLC2A1,52,-5.2856,144,-3.8020,61,-5.0515,7560,5.53278,394,-2.3075
ENSG00000142937,RPS8,53,-4.6891,705,-0.7852,517,-1.2876,2241,1.42792,2054,1.22399
ENSG00000117450,PRDX1,52,-3.1840,242,-0.8307,179,-1.3165,542,0.60816,948,1.90099
ENSG00000116133,DHCR24,16991,7.66164,29,-7.1890,43,-6.6466,5,-9.6369,257,-4.0509
ENSG00000162407,PLPP3,52,-1.6506,91,-0.7598,140,-0.0269,5,-5.0252,423,2.54269
ENSG00000162599,NFIA,53,-2.8469,400,0.44074,244,-0.4489,257,-0.3591,624,1.38586
ENSG00000116754,SRSF11,53,-2.2751,287,0.50806,228,0.07654,233,0.12018,291,0.53798
ENSG00000137941,TTLL7,55,-1.7678,273,1.04323,123,-0.4621,5,-5.2072,347,1.60081
ENSG00000122406,RPL5,52,-3.2938,293,-0.6296,267,-0.7855,628,0.76189,868,1.48478
ENSG00000134243,SORT1,10517,4.83407,249,-3.5570,34,-6.4176,957,-1.5265,232,-3.6573
ENSG00000168710,AHCYL1,52,-3.4791,57,-3.3388,606,0.44074,470,-0.0330,1207,2.02449
ENSG00000155366,RHOC,52,-3.1263,75,-2.5914,70,-2.6936,1321,3.22642,366,-0.0496
ENSG00000009307,CSDE1,52,-2.4166,288,0.36517,133,-0.9730,150,-0.7752,557,1.83404
ENSG00000198162,MAN1A2,52,-1.8838,13,-3.9126,190,0.25717,190,0.26657,379,1.76272
ENSG00000197747,S100A10,52,-4.0191,112,-2.8852,10,-6.3185,3068,5.05609,193,-2.0673
ENSG00000197956,S100A6,52,-4.0595,743,0.06495,66,-3.7156,2360,2.94560,362,-1.1536
ENSG00000189171,S100A13,52,-2.2013,161,-0.4012,174,-0.2625,45,-2.4093,579,2.41765
ENSG00000160678,S100A1,989,3.17964,13,-4.7319,98,-1.7560,5,-6.0547,319,0.20974
ENSG00000177954,RPS27,52,-5.4783,1078,-0.9576,1014,-1.0574,3968,1.53179,3344,1.12954
ENSG00000143603,KCNN3,52,-1.8363,269,1.00989,140,-0.2469,12,-3.9612,330,1.47432
ENSG00000163346,PBXIP1,52,-2.0351,12,-4.1156,215,0.32194,175,-0.0620,450,1.98259
ENSG00000132718,SYT11,53,-2.4739,345,0.61632,186,-0.5042,107,-1.4065,552,1.67460
ENSG00000160781,PAQR6,54,-3.6017,117,-2.4745,843,0.84628,821,0.79328,881,0.94160
ENSG00000125462,C1orf61,52,-3.2634,13,-5.2027,363,-0.2219,5,-6.4489,1625,3.89862
ENSG00000018625,ATP1A2,52,-3.6483,228,-1.4299,618,0.25519,933,1.08755,857,0.90447
ENSG00000162734,PEA15,53,-3.6791,520,-0.1376,387,-0.6461,148,-2.1617,1699,2.61526
ENSG00000143248,RGS5,53,-2.8647,411,0.44144,63,-2.6078,737,1.73337,357,0.17441
ENSG00000143153,ATP1B1,54,-2.1901,13,-4.3095,41,-2.6101,8,-4.8575,927,4.98313
ENSG00000117523,PRRC2C,53,-3.2731,302,-0.5879,411,-0.0526,843,1.40569,507,0.33324
ENSG00000117592,PRDX6,52,-2.2929,110,-1.1271,161,-0.4995,224,0.08210,524,1.93788
ENSG00000135821,GLUL,52,-4.5095,926,-0.0751,792,-0.3508,421,-1.3858,2639,2.26699
ENSG00000159176,CSRP1,52,-2.8775,518,0.93280,260,-0.3700,21,-4.2083,751,1.81860
ENSG00000170075,GPR37L1,52,-1.7998,12,-3.9040,110,-0.5889,5,-5.1587,597,3.71982
ENSG00000069275,NUCKS1,2605,2.18719,535,-1.0241,380,-1.5664,165,-2.8400,1206,0.38846
ENSG00000117691,NENF,53,-1.3381,12,-3.5227,95,-0.3877,114,-0.0788,320,2.21328
ENSG00000154380,ENAH,53,-1.1175,12,-3.3010,108,0.07979,45,-1.3843,297,2.43938
