Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188290,HES4,568,2.17701,195,0.18430,116,-0.7144,160,-0.1422,32,-2.5573,46,-2.0399,335,1.11629,1,-7.0283
ENSG00000187608,ISG15,10,-3.9002,2,-5.8801,57,-1.5122,144,0.05293,34,-2.1377,120,-0.2423,335,1.54156,495,2.37738
ENSG00000078808,SDF4,192,0.67006,104,-0.3371,108,-0.3232,159,0.35128,35,-1.9984,92,-0.5313,335,1.70001,25,-2.4840
ENSG00000107404,DVL1,11,-2.9811,73,-0.1830,66,-0.3815,31,-1.4759,39,-1.1579,113,0.54047,335,2.73053,1,-5.9374
ENSG00000175756,AURKAIP1,10,-4.1329,187,0.21999,164,0.00900,146,-0.1884,37,-2.2570,122,-0.4715,335,1.23393,307,1.07368
ENSG00000242485,MRPL20,10,-3.9958,237,0.77613,176,0.31671,193,0.42518,62,-1.3518,151,0.01715,335,1.41215,1,-6.7998
ENSG00000160075,SSU72,1502,3.04201,255,-0.4072,208,-0.8000,172,-1.0179,31,-3.5524,109,-1.6976,335,0.03167,137,-1.3569
ENSG00000228594,FNDC10,10,-3.5052,220,1.24884,156,0.76026,23,-2.3200,16,-2.8830,40,-1.5141,335,2.10301,1,-6.3150
ENSG00000078369,GNB1,865,1.38647,589,0.68865,440,0.22640,338,-0.2290,105,-2.0105,187,-1.1519,335,-0.2439,211,-0.9621
ENSG00000067606,PRKCZ,10,-4.1772,211,0.36483,340,1.49867,79,-1.1832,54,-1.7424,69,-1.3940,335,1.17639,82,-1.1335
ENSG00000157916,RER1,10,-3.1593,9,-3.2605,79,-0.1143,114,0.51709,23,-1.9757,51,-0.7898,335,2.67062,54,-0.7019
ENSG00000157870,PRXL2B,10,-3.1343,0,-6.9959,125,0.83238,46,-0.8964,14,-2.6950,84,0.03586,335,2.71229,1,-5.9474
ENSG00000158109,TPRG1L,10,-4.3322,329,0.94618,345,1.26760,77,-1.3828,63,-1.6905,59,-1.7741,335,0.98099,128,-0.6036
ENSG00000130764,LRRC47,338,1.90349,0,-7.5063,117,-0.0076,68,-0.8503,26,-2.2921,55,-1.1873,335,1.88717,1,-6.4576
ENSG00000069424,KCNAB2,2146,4.12290,275,-0.3754,124,-1.7318,52,-2.8730,11,-5.0515,60,-2.6581,335,-0.0587,1,-8.0218
ENSG00000116254,CHD5,10,-3.6559,163,0.54304,213,1.22723,36,-1.8104,30,-2.0854,58,-1.0938,335,1.88287,1,-6.4616
ENSG00000116251,RPL22,10,-4.9528,204,-0.5490,206,-0.6003,809,1.85470,272,-0.0941,368,0.40177,335,0.24609,186,-0.6947
ENSG00000097021,ACOT7,2044,2.39068,928,0.81078,741,0.49459,103,-2.6156,105,-2.5885,162,-1.9431,335,-0.8464,1,-8.4161
ENSG00000171735,CAMTA1,434,0.80276,305,0.20209,316,0.30372,176,-0.6692,206,-0.4249,231,-0.2474,335,0.36119,104,-1.4804
ENSG00000116288,PARK7,10,-4.9182,530,1.08117,205,-0.5632,244,-0.2308,61,-2.3344,273,-0.0487,335,0.28582,670,1.52228
ENSG00000142599,RERE,10,-3.7349,124,-0.0066,97,-0.4518,53,-1.3314,66,-0.9992,103,-0.3067,335,1.76945,236,1.09266
ENSG00000074800,ENO1,801,0.30171,875,0.44914,900,0.58405,452,-0.6175,194,-1.8977,577,-0.2317,335,-1.0778,966,0.61779
ENSG00000171603,CLSTN1,1538,1.78611,728,0.41190,410,-0.5746,216,-1.5005,82,-2.9273,168,-1.8705,335,-0.8290,1215,1.32069
ENSG00000054523,KIF1B,10,-5.3880,565,0.62022,369,-0.0983,403,0.05597,213,-0.9466,265,-0.6116,335,-0.2417,976,1.62348
ENSG00000142657,PGD,10,-3.0971,32,-1.4192,110,0.61530,84,0.07248,14,-2.5687,25,-1.7758,335,2.78270,1,-5.9090
ENSG00000116649,SRM,10,-3.5400,290,1.75032,105,-0.0661,71,-0.6632,7,-4.1162,54,-1.0889,335,2.05315,1,-6.3467
ENSG00000116661,FBXO2,1561,2.07966,539,0.11823,439,-0.2434,123,-2.1569,35,-3.9764,271,-0.9653,335,-0.6389,771,0.72030
ENSG00000132879,FBXO44,468,1.73339,335,1.08775,159,-0.1940,52,-1.8905,14,-3.7530,69,-1.4523,335,1.09042,1,-7.0475
ENSG00000011021,CLCN6,10,-3.7646,307,1.55181,191,0.81370,45,-1.6111,18,-2.9070,44,-1.6372,335,1.72734,1,-6.5702
ENSG00000116688,MFN2,10,-3.6416,36,-1.7942,198,1.07775,103,-0.1983,46,-1.4390,74,-0.7236,335,1.90188,50,-1.3091
ENSG00000116786,PLEKHM2,10,-3.0549,0,-6.9179,77,-0.0219,95,0.32622,36,-1.2065,70,-0.1635,335,2.85649,1,-5.8700
ENSG00000159363,ATP13A2,2071,3.24130,446,0.08033,404,-0.0898,71,-2.7164,39,-3.5992,49,-3.2605,335,-0.3776,1,-8.3092
ENSG00000117115,PADI2,10,-3.5992,64,-0.9046,17,-3.0105,333,1.95196,92,-0.3359,90,-0.3581,335,1.96555,61,-0.9703
ENSG00000077549,CAPZB,10,-4.4190,263,0.45747,316,0.92348,187,-0.1017,50,-2.1039,110,-0.9385,335,0.87578,208,0.06788
ENSG00000173436,MICOS10,10,-4.2600,362,1.21328,199,0.20477,310,0.93110,66,-1.5373,126,-0.5586,335,1.07263,1,-7.0604
ENSG00000158747,NBL1,10,-3.8790,223,0.81603,184,0.57250,123,-0.1809,54,-1.4461,121,-0.2024,335,1.56968,1,-6.6832
ENSG00000162545,CAMK2N1,10,-5.0403,841,1.81122,343,0.21256,435,0.58260,253,-0.3040,195,-0.7134,335,0.14703,1,-7.8391
ENSG00000158828,PINK1,10,-4.8697,632,1.47168,411,0.81793,277,0.02442,83,-1.8205,253,-0.1170,335,0.34048,40,-2.9081
ENSG00000127483,HP1BP3,10,-4.1837,190,0.18566,96,-0.9807,204,0.30559,79,-1.1812,157,-0.1181,335,1.16952,357,1.28455
ENSG00000075151,EIF4G3,10,-4.0816,267,0.88538,165,0.07645,127,-0.3435,42,-2.0082,41,-2.0595,335,1.29970,270,0.90171
ENSG00000076864,RAP1GAP,10,-3.6769,253,1.29421,178,0.78656,54,-1.2453,26,-2.3304,42,-1.6252,335,1.85161,1,-6.4831
