gene_name	LCNM_subclus	DEtest_FDRunder0.2_forCluster	Nsigmodels_forCluster
CAMK2G	LC.1_NMpos	E4_noAncestry_noRin	4
MTRNR2L8	LC.1_NMpos	E4_noAncestry_noRin	4
HSPA1A	LC.1_NMpos	E4_noAncestry_noRin	4
ENHO	LC.1_NMpos	E4_noAncestry_noRin	4
CAMK2G	LC.1_NMpos	E4_noAncestry_wRin	4
ENHO	LC.1_NMpos	E4_noAncestry_wRin	4
MTRNR2L8	LC.1_NMpos	E4_noAncestry_wRin	4
HSPA1A	LC.1_NMpos	E4_noAncestry_wRin	4
DLG2	LC.1_NMpos	E4_noAncestry_wRin	3
TMEM47	LC.1_NMpos	E4_noAncestry_wRin	2
TSPAN7	LC.1_NMpos	E4_noAncestry_wRin	2
TFRC	LC.1_NMpos	E4_noAncestry_wRin	1
FGFR3	LC.1_NMpos	E4_noAncestry_wRin	1
CAMK2G	LC.1_NMpos	E4_wAncestry_noRin	4
MTRNR2L8	LC.1_NMpos	E4_wAncestry_noRin	4
HSPA1A	LC.1_NMpos	E4_wAncestry_noRin	4
B2M	LC.1_NMpos	E4_wAncestry_noRin	1
ENHO	LC.1_NMpos	E4_wAncestry_noRin	4
DLG2	LC.1_NMpos	E4_wAncestry_noRin	3
CAMK2G	LC.1_NMpos	E4_wAncestry_wRin	4
ENHO	LC.1_NMpos	E4_wAncestry_wRin	4
HSPA1A	LC.1_NMpos	E4_wAncestry_wRin	4
DLG2	LC.1_NMpos	E4_wAncestry_wRin	3
MTRNR2L8	LC.1_NMpos	E4_wAncestry_wRin	4
TSPAN7	LC.1_NMpos	E4_wAncestry_wRin	2
TMEM47	LC.1_NMpos	E4_wAncestry_wRin	2
IFI27	LC.1_NMneg	E4_noAncestry_noRin	4
MTRNR2L8	LC.1_NMneg	E4_noAncestry_noRin	4
CPNE3	LC.1_NMneg	E4_noAncestry_noRin	4
CARTPT	LC.1_NMneg	E4_noAncestry_noRin	4
TFRC	LC.1_NMneg	E4_noAncestry_noRin	4
SMIM29	LC.1_NMneg	E4_noAncestry_noRin	4
NRXN1	LC.1_NMneg	E4_noAncestry_noRin	4
IGSF1	LC.1_NMneg	E4_noAncestry_noRin	3
LINC00844	LC.1_NMneg	E4_noAncestry_noRin	3
IGSF1	LC.1_NMneg	E4_noAncestry_wRin	3
TFRC	LC.1_NMneg	E4_noAncestry_wRin	4
CARTPT	LC.1_NMneg	E4_noAncestry_wRin	4
CPNE3	LC.1_NMneg	E4_noAncestry_wRin	4
NRXN1	LC.1_NMneg	E4_noAncestry_wRin	4
ENHO	LC.1_NMneg	E4_noAncestry_wRin	2
IFI27	LC.1_NMneg	E4_noAncestry_wRin	4
SMIM29	LC.1_NMneg	E4_noAncestry_wRin	4
LINC00844	LC.1_NMneg	E4_noAncestry_wRin	3
SLC1A2	LC.1_NMneg	E4_noAncestry_wRin	2
PON2	LC.1_NMneg	E4_noAncestry_wRin	2
ELMOD1	LC.1_NMneg	E4_noAncestry_wRin	2
MTRNR2L8	LC.1_NMneg	E4_noAncestry_wRin	4
CST3	LC.1_NMneg	E4_noAncestry_wRin	2
PCSK1	LC.1_NMneg	E4_noAncestry_wRin	2
FGFR3	LC.1_NMneg	E4_noAncestry_wRin	2
NRCAM	LC.1_NMneg	E4_noAncestry_wRin	2
C1QTNF4	LC.1_NMneg	E4_noAncestry_wRin	1
SLC6A1	LC.1_NMneg	E4_noAncestry_wRin	2
TH	LC.1_NMneg	E4_noAncestry_wRin	2
S100A13	LC.1_NMneg	E4_noAncestry_wRin	1
SERPINE2	LC.1_NMneg	E4_noAncestry_wRin	2
OLFM2	LC.1_NMneg	E4_noAncestry_wRin	2
SDC2	LC.1_NMneg	E4_noAncestry_wRin	2
GJA1	LC.1_NMneg	E4_noAncestry_wRin	2
SPARC	LC.1_NMneg	E4_noAncestry_wRin	2
TNPO2	LC.1_NMneg	E4_noAncestry_wRin	2
CD320	LC.1_NMneg	E4_noAncestry_wRin	2
VSNL1	LC.1_NMneg	E4_noAncestry_wRin	1
RND2	LC.1_NMneg	E4_noAncestry_wRin	1
VCP	LC.1_NMneg	E4_noAncestry_wRin	1
FGF12	LC.1_NMneg	E4_noAncestry_wRin	2
