gene	module
ACAA2	0
ADGRG1	0
ADH5	0
AGPAT1	0
AGT	0
AGTRAP	0
AKR7A2	0
ALDH9A1	0
ANKRD9	0
APC2	0
APH1A	0
APOE	0
AQP4	0
ARHGDIA	0
ARL1	0
ARL6IP5	0
ASCL1	0
ATP1A2	0
ATP1B2	0
ATP6AP1	0
ATP6AP2	0
ATP6V0E2	0
AXL	0
B4GAT1	0
BCAN	0
BCAP31	0
CADM4	0
CALR	0
CANX	0
CD151	0
CD164	0
CD81	0
CDIPT	0
CELSR2	0
CERS2	0
CHPF	0
CKAP4	0
CLU	0
CMTM6	0
CPE	0
CSPG5	0
CSRP1	0
CST3	0
CTSB	0
CTSF	0
CTSL	0
CXCL14	0
CYB5R3	0
CYP2U1	0
DAG1	0
DCHS1	0
DDOST	0
DDR1	0
DEGS1	0
DHRS7	0
DNAJB9	0
DNASE2	0
ECH1	0
EDNRB	0
ELOVL1	0
EMC7	0
EMILIN1	0
ENHO	0
ENPP5	0
ERH	0
ERLIN2	0
F3	0
FAIM2	0
FAM181A	0
FGFRL1	0
FIBIN	0
FJX1	0
FKBP14	0
FOXRED2	0
FZD8	0
G6PC3	0
GAREM2	0
GARNL3	0
GJA1	0
GJB6	0
GLUL	0
GNA11	0
GNB2	0
GPR37L1	0
GRINA	0
GRN	0
H1FX	0
H2AFX	0
HCFC1	0
HDGF	0
HEPACAM	0
HERPUD1	0
HLA-A	0
HLA-C	0
HNRNPA0	0
HSP90B1	0
HSPA13	0
HSPA2	0
HSPA5	0
HTRA1	0
HYOU1	0
IFFO1	0
ILVBL	0
INHBB	0
IRAK1	0
IRF2BPL	0
ITM2B	0
ITM2C	0
KCNJ10	0
KDELR1	0
KEAP1	0
LAMB2	0
LAMP1	0
LAMP2	0
LAPTM4A	0
LGALS3BP	0
LMAN2	0
LRIG1	0
LRP10	0
LRPAP1	0
MANEA	0
MARCKS	0
MARCKSL1	0
METTL7A	0
MLC1	0
MRPS26	0
MUL1	0
NAT8L	0
NCSTN	0
NFKBIA	0
NINJ1	0
NLGN3	0
NPC2	0
NR1H2	0
OMG	0
P4HB	0
PBXIP1	0
PCDHB4	0
PCYOX1	0
PDIA3	0
PDIA4	0
PDIA6	0
PLTP	0
PMVK	0
PNMA1	0
POMGNT2	0
PPIB	0
PPT1	0
PRELP	0
PRNP	0
PSAP	0
PTDSS1	0
PTTG1IP	0
RAB1B	0
RABAC1	0
RCN1	0
RHBDD2	0
RHOC	0
RNF139	0
RNF167	0
ROM1	0
S1PR1	0
SARAF	0
SCAMP4	0
SDC3	0
SDC4	0
SEC61A1	0
SEL1L	0
SEMA4A	0
SF3A1	0
SGCB	0
SHISA4	0
SLC22A17	0
SLC25A6	0
SLC30A1	0
SLC38A3	0
SLC39A1	0
SLITRK2	0
SMPD1	0
SNN	0
SOD3	0
SOX21	0
SPCS2	0
SRI	0
SSR1	0
SSR2	0
SURF4	0
SYPL1	0
SYT11	0
TAP1	0
TAPBP	0
TESK1	0
TEX264	0
TMBIM6	0
TMCO1	0
TMED5	0
TMED7-TICAM2	0
TMED9	0
TMEM106B	0
TMEM129	0
TMEM132A	0
TMEM147	0
TMEM30A	0
TMEM33	0
TMEM41A	0
TMEM47	0
TMEM59	0
TMEM9	0
TMEM9B	0
TPP1	0
TRIL	0
TSC22D4	0
TSPAN7	0
TTYH1	0
TUBB2A	0
TUBB2B	0
TUFM	0
TXN2	0
UBQLN2	0
VASN	0
VEGFB	0
VWA1	0
WFS1	0
WRB	0
YIPF3	0
YIPF6	0
ZNF358	0
ZNF703	0
AASDH	1
AC107021.1	1
AGBL5	1
AKAP17A	1
ALAD	1
ANGPT2	1
ANKUB1	1
AP4M1	1
APEX1	1
ARGLU1	1
ASPHD1	1
ATF6B	1
ATP8B1	1
BCL2L14	1
C11orf58	1
C19orf25	1
C19orf66	1
C1orf122	1
C1orf131	1
C1orf52	1
C1orf56	1
C2orf88	1
C9orf84	1
CCNC	1
